INSERT INTO Reviews VALUES (1, 5, t, '', '');
INSERT INTO Reviews VALUES (2, 3, t, '', '');
INSERT INTO Reviews VALUES (3, 8, f, '', '');
INSERT INTO Reviews VALUES (4, 6, f, '', '');
INSERT INTO Reviews VALUES (5, 1, f, '', '');
INSERT INTO Reviews VALUES (6, 8, f, '', '');
INSERT INTO Reviews VALUES (7, 6, f, '', '');
INSERT INTO Reviews VALUES (8, 1, f, '', '');
INSERT INTO Reviews VALUES (9, 8, f, '', '');
INSERT INTO Reviews VALUES (10, 3, f, '', '');
INSERT INTO Reviews VALUES (11, 3, t, '', '');
INSERT INTO Reviews VALUES (12, 1, f, '', '');
INSERT INTO Reviews VALUES (13, 3, f, '', '');
INSERT INTO Reviews VALUES (14, 8, f, '', '');
INSERT INTO Reviews VALUES (15, 8, f, '', '');
INSERT INTO Reviews VALUES (16, 1, f, '', '');
INSERT INTO Reviews VALUES (17, 2, f, '', '');
INSERT INTO Reviews VALUES (18, 4, f, '', '');
INSERT INTO Reviews VALUES (19, 1, f, '', '');
INSERT INTO Reviews VALUES (20, 5, f, '', '');
INSERT INTO Reviews VALUES (21, 4, f, '', '');
INSERT INTO Reviews VALUES (22, 6, f, '', '');
INSERT INTO Reviews VALUES (23, 6, f, '', '');
INSERT INTO Reviews VALUES (24, 7, f, '', '');
INSERT INTO Reviews VALUES (25, 6, f, '', '');
INSERT INTO Reviews VALUES (26, 7, f, '', '');
INSERT INTO Reviews VALUES (27, 2, f, '', '');
INSERT INTO Reviews VALUES (28, 6, t, '', '');
INSERT INTO Reviews VALUES (29, 8, t, '', '');
INSERT INTO Reviews VALUES (30, 6, t, '', '');
INSERT INTO Reviews VALUES (31, 4, t, '', '');
INSERT INTO Reviews VALUES (32, 8, t, '', '');
INSERT INTO Reviews VALUES (33, 6, t, '', '');
INSERT INTO Reviews VALUES (34, 8, f, '', '');
INSERT INTO Reviews VALUES (35, 7, f, '', '');
INSERT INTO Reviews VALUES (36, 6, f, '', '');
INSERT INTO Reviews VALUES (37, 2, f, '', '');
INSERT INTO Reviews VALUES (38, 2, f, '', '');
INSERT INTO Reviews VALUES (39, 4, f, '', '');
INSERT INTO Reviews VALUES (40, 2, f, '', '');
INSERT INTO Reviews VALUES (41, 7, f, '', '');
INSERT INTO Reviews VALUES (42, 1, f, '', '');
INSERT INTO Reviews VALUES (43, 6, f, '', '');
INSERT INTO Reviews VALUES (44, 6, f, '', '');
INSERT INTO Reviews VALUES (45, 7, f, '', '');
INSERT INTO Reviews VALUES (46, 2, f, '', '');
INSERT INTO Reviews VALUES (47, 5, f, '', '');
INSERT INTO Reviews VALUES (48, 3, f, '', '');
INSERT INTO Reviews VALUES (49, 5, f, '', '');
INSERT INTO Reviews VALUES (50, 3, f, '', '');
INSERT INTO Reviews VALUES (51, 5, f, '', '');
INSERT INTO Reviews VALUES (52, 2, f, '', '');
INSERT INTO Reviews VALUES (53, 1, t, '', '');
INSERT INTO Reviews VALUES (54, 6, t, '', '');
INSERT INTO Reviews VALUES (55, 3, t, '', '');
INSERT INTO Reviews VALUES (56, 6, t, '', '');
INSERT INTO Reviews VALUES (57, 8, t, '', '');
INSERT INTO Reviews VALUES (58, 3, t, '', '');
INSERT INTO Reviews VALUES (59, 3, t, '', '');
INSERT INTO Reviews VALUES (60, 6, f, '', '');
INSERT INTO Reviews VALUES (61, 4, f, '', '');
INSERT INTO Reviews VALUES (62, 5, f, '', '');
INSERT INTO Reviews VALUES (63, 6, f, '', '');
INSERT INTO Reviews VALUES (64, 8, f, '', '');
INSERT INTO Reviews VALUES (65, 8, f, '', '');
INSERT INTO Reviews VALUES (66, 6, t, '', '');
INSERT INTO Reviews VALUES (67, 1, t, '', '');
INSERT INTO Reviews VALUES (68, 1, t, '', '');
INSERT INTO Reviews VALUES (69, 7, f, '', '');
INSERT INTO Reviews VALUES (70, 2, f, '', '');
INSERT INTO Reviews VALUES (71, 7, f, '', '');
